Edge Detector,Input Image,Noise Type,Preprocessing,Edge Quality,Noise Sensitivity,Observations,Edge density (%),Precision,Recall,F1 vs clean,Fragments /1k px,Edge width (x skel.)
Prewitt,Noisy,Gaussian,Median Filter,Fair (F1=0.63),Moderate (drop 37 pp),"51% of detected edge px are false edges, 6% of clean edge px are missing/broken; density 16.6%->33.4%; 58 fragments/1000 px (clean 56); width 1.77x. Filtering changed F1 by +0.05 vs the unfiltered noisy input.",33.42,0.492,0.936,0.628,57.6,1.77
Prewitt,Noisy,Salt & Pepper,None,Poor (F1=0.49),High (drop 51 pp),"59% of detected edge px are false edges, 29% of clean edge px are missing/broken; density 16.6%->24.6%; 103 fragments/1000 px (clean 56); width 1.65x.",24.6,0.405,0.711,0.494,102.5,1.65
Prewitt,Noisy,Salt & Pepper,Gaussian Filter,Poor (F1=0.55),High (drop 45 pp),"56% of detected edge px are false edges, 17% of clean edge px are missing/broken; density 16.6%->32.4%; 34 fragments/1000 px (clean 56); width 2.28x. Filtering changed F1 by +0.06 vs the unfiltered noisy input.",32.44,0.439,0.829,0.553,33.5,2.28
Prewitt,Noisy,Salt & Pepper,Median Filter,Good (F1=0.96),Low (drop 4 pp),"3% of detected edge px are false edges, 6% of clean edge px are missing/broken; density 16.6%->16.8%; 35 fragments/1000 px (clean 56); width 2.55x. Filtering changed F1 by +0.46 vs the unfiltered noisy input.",16.76,0.971,0.941,0.955,35.2,2.55
Laplacian,Original,None,None,"Reference - thin / sharp, highly fragmented",n/a (reference),Edge density 15.6% of pixels; width 1.30x skeleton; 192 fragments per 1000 edge px. Design: 2nd-order isotropic operator with no smoothing; thin but amplifies every noisy pixel.,15.57,,,,192.4,1.3
Laplacian,Noisy,Gaussian,None,Fair (F1=0.67),Moderate (drop 33 pp),"46% of detected edge px are false edges, 3% of clean edge px are missing/broken; density 15.6%->33.0%; 89 fragments/1000 px (clean 192); width 1.25x.",32.96,0.538,0.966,0.669,89.5,1.25
Laplacian,Noisy,Gaussian,Gaussian Filter,Fair (F1=0.69),Moderate (drop 31 pp),"43% of detected edge px are false edges, 7% of clean edge px are missing/broken; density 15.6%->31.2%; 127 fragments/1000 px (clean 192); width 1.46x. Filtering changed F1 by +0.02 vs the unfiltered noisy input.",31.21,0.567,0.935,0.686,127.1,1.46
Laplacian,Noisy,Gaussian,Median Filter,Fair (F1=0.66),Moderate (drop 34 pp),"46% of detected edge px are false edges, 9% of clean edge px are missing/broken; density 15.6%->28.8%; 121 fragments/1000 px (clean 192); width 1.30x. Filtering changed F1 by -0.01 vs the unfiltered noisy input.",28.75,0.544,0.911,0.66,121.0,1.3
Laplacian,Noisy,Salt & Pepper,None,Poor (F1=0.40),High (drop 60 pp),"46% of detected edge px are false edges, 66% of clean edge px are missing/broken; density 15.6%->4.6%; 718 fragments/1000 px (clean 192); width 1.02x.",4.64,0.543,0.345,0.404,718.3,1.02
Laplacian,Noisy,Salt & Pepper,Gaussian Filter,Poor (F1=0.53),High (drop 47 pp),"46% of detected edge px are false edges, 44% of clean edge px are missing/broken; density 15.6%->13.6%; 216 fragments/1000 px (clean 192); width 1.63x. Filtering changed F1 by +0.12 vs the unfiltered noisy input.",13.65,0.542,0.563,0.529,216.3,1.63
Laplacian,Noisy,Salt & Pepper,Median Filter,Good (F1=0.87),Low (drop 13 pp),"8% of detected edge px are false edges, 17% of clean edge px are missing/broken; density 15.6%->14.0%; 172 fragments/1000 px (clean 192); width 1.42x. Filtering changed F1 by +0.46 vs the unfiltered noisy input.",14.0,0.918,0.83,0.867,172.4,1.42
LoG,Original,None,None,"Reference - thick / blurred, highly fragmented",n/a (reference),Edge density 17.3% of pixels; width 2.70x skeleton; 70 fragments per 1000 edge px. Design: Gaussian smoothing before the Laplacian; suppresses fine noise but blurs weak detail.,17.33,,,,69.7,2.7
LoG,Noisy,Gaussian,None,Fair (F1=0.65),Moderate (drop 35 pp),"48% of detected edge px are false edges, 8% of clean edge px are missing/broken; density 17.3%->30.5%; 102 fragments/1000 px (clean 70); width 2.26x.",30.54,0.517,0.915,0.646,102.1,2.26
LoG,Noisy,Gaussian,Gaussian Filter,Fair (F1=0.67),Moderate (drop 33 pp),"44% of detected edge px are false edges, 10% of clean edge px are missing/broken; density 17.3%->29.4%; 84 fragments/1000 px (clean 70); width 2.79x. Filtering changed F1 by +0.03 vs the unfiltered noisy input.",29.4,0.557,0.896,0.673,84.1,2.79
LoG,Noisy,Gaussian,Median Filter,Fair (F1=0.65),Moderate (drop 35 pp),"47% of detected edge px are false edges, 11% of clean edge px are missing/broken; density 17.3%->30.1%; 87 fragments/1000 px (clean 70); width 2.63x. Filtering changed F1 by +0.00 vs the unfiltered noisy input.",30.05,0.526,0.888,0.646,87.5,2.63
LoG,Noisy,Salt & Pepper,None,Poor (F1=0.55),High (drop 45 pp),"54% of detected edge px are false edges, 26% of clean edge px are missing/broken; density 17.3%->23.0%; 109 fragments/1000 px (clean 70); width 2.39x.",22.97,0.463,0.741,0.554,109.4,2.39
LoG,Noisy,Salt & Pepper,Gaussian Filter,Poor (F1=0.58),High (drop 42 pp),"52% of detected edge px are false edges, 22% of clean edge px are missing/broken; density 17.3%->25.7%; 92 fragments/1000 px (clean 70); width 2.84x. Filtering changed F1 by +0.02 vs the unfiltered noisy input.",25.65,0.481,0.776,0.579,92.2,2.84
LoG,Noisy,Salt & Pepper,Median Filter,Good (F1=0.98),Low (drop 2 pp),"1% of detected edge px are false edges, 3% of clean edge px are missing/broken; density 17.3%->17.4%; 59 fragments/1000 px (clean 70); width 2.99x. Filtering changed F1 by +0.42 vs the unfiltered noisy input.",17.37,0.989,0.967,0.978,58.6,2.99
Canny,Original,None,None,"Reference - thin / sharp, partly fragmented",n/a (reference),Edge density 0.4% of pixels; width 1.30x skeleton; 36 fragments per 1000 edge px. Design: smoothing + non-max suppression + hysteresis; 1-px edges linked into contours.,0.42,,,,35.7,1.3
Canny,Noisy,Gaussian,None,Poor (F1=0.33),High (drop 67 pp),"74% of detected edge px are false edges, 45% of clean edge px are missing/broken; density 0.4%->1.8%; 22 fragments/1000 px (clean 36); width 1.26x.",1.77,0.255,0.548,0.327,22.3,1.26
Canny,Noisy,Gaussian,Gaussian Filter,Poor (F1=0.17),High (drop 83 pp),"67% of detected edge px are false edges, 85% of clean edge px are missing/broken; density 0.4%->0.1%; 30 fragments/1000 px (clean 36); width 1.36x. Filtering changed F1 by -0.15 vs the unfiltered noisy input.",0.11,0.331,0.146,0.174,30.2,1.36
Canny,Noisy,Gaussian,Median Filter,Poor (F1=0.37),High (drop 63 pp),"58% of detected edge px are false edges, 65% of clean edge px are missing/broken; density 0.4%->0.3%; 25 fragments/1000 px (clean 36); width 1.31x. Filtering changed F1 by +0.05 vs the unfiltered noisy input.",0.32,0.419,0.351,0.373,24.6,1.31
Canny,Noisy,Salt & Pepper,None,Poor (F1=0.04),High (drop 96 pp),"98% of detected edge px are false edges, 41% of clean edge px are missing/broken; density 0.4%->16.7%; 56 fragments/1000 px (clean 36); width 1.43x.",16.7,0.023,0.593,0.044,56.0,1.43
Canny,Noisy,Salt & Pepper,Gaussian Filter,Poor (F1=0.22),High (drop 78 pp),"80% of detected edge px are false edges, 71% of clean edge px are missing/broken; density 0.4%->0.6%; 38 fragments/1000 px (clean 36); width 1.40x. Filtering changed F1 by +0.18 vs the unfiltered noisy input.",0.58,0.199,0.291,0.222,38.3,1.4
Canny,Noisy,Salt & Pepper,Median Filter,Poor (F1=0.40),High (drop 60 pp),"47% of detected edge px are false edges, 65% of clean edge px are missing/broken; density 0.4%->0.2%; 35 fragments/1000 px (clean 36); width 1.30x. Filtering changed F1 by +0.36 vs the unfiltered noisy input.",0.21,0.531,0.352,0.402,34.9,1.3
